dataset,scene,source_path,selection_reason,evidence,variant,lambda_ref_consistency,ref_consistency_start,ref_consistency_every,ref_consistency_gamma,lambda_dssim,expected_effect,acceptance_criteria
shiny_blender_synthetic,helmet,/data/liuly/dataset/3DGS/Shiny Blender Synthetic/helmet,strongest consistency gain with quality regression signal,test consistency delta -0.180882; test full LPIPS delta +0.00003397 and full SSIM delta -0.0000116,rc_qp_lam005,0.005,3000,4,2.0,0.2,largest reduction in RC pressure; should reduce quality regressions but may lose some consistency gain,test consistency lower than base; prefer full LPIPS/PSNR/SSIM beat base; reflective metrics beat or match base where possible
shiny_blender_synthetic,helmet,/data/liuly/dataset/3DGS/Shiny Blender Synthetic/helmet,strongest consistency gain with quality regression signal,test consistency delta -0.180882; test full LPIPS delta +0.00003397 and full SSIM delta -0.0000116,rc_qp_lam010,0.01,3000,4,2.0,0.2,middle point likely to preserve most consistency gain while easing quality pressure,test consistency lower than base; prefer full LPIPS/PSNR/SSIM beat base; reflective metrics beat or match base where possible
shiny_blender_synthetic,helmet,/data/liuly/dataset/3DGS/Shiny Blender Synthetic/helmet,strongest consistency gain with quality regression signal,test consistency delta -0.180882; test full LPIPS delta +0.00003397 and full SSIM delta -0.0000116,rc_qp_lam010_start5000_every8,0.01,5000,8,2.0,0.2,lets reconstruction settle and halves RC update frequency; primary quality-preserving schedule candidate,test consistency lower than base; prefer full LPIPS/PSNR/SSIM beat base; reflective metrics beat or match base where possible
shiny_blender_synthetic,helmet,/data/liuly/dataset/3DGS/Shiny Blender Synthetic/helmet,strongest consistency gain with quality regression signal,test consistency delta -0.180882; test full LPIPS delta +0.00003397 and full SSIM delta -0.0000116,rc_qp_lam010_gamma10,0.01,3000,4,1.0,0.2,tests whether confidence weighting sharpness contributes to reflective-region quality regressions,test consistency lower than base; prefer full LPIPS/PSNR/SSIM beat base; reflective metrics beat or match base where possible
shiny_blender_synthetic,coffee,/data/liuly/dataset/3DGS/Shiny Blender Synthetic/coffee,test consistency exception,test consistency delta +0.002339; reflective PSNR/SSIM/LPIPS all regress on test,rc_qp_lam005,0.005,3000,4,2.0,0.2,largest reduction in RC pressure; should reduce quality regressions but may lose some consistency gain,test consistency lower than base; prefer full LPIPS/PSNR/SSIM beat base; reflective metrics beat or match base where possible
shiny_blender_synthetic,coffee,/data/liuly/dataset/3DGS/Shiny Blender Synthetic/coffee,test consistency exception,test consistency delta +0.002339; reflective PSNR/SSIM/LPIPS all regress on test,rc_qp_lam010,0.01,3000,4,2.0,0.2,middle point likely to preserve most consistency gain while easing quality pressure,test consistency lower than base; prefer full LPIPS/PSNR/SSIM beat base; reflective metrics beat or match base where possible
shiny_blender_synthetic,coffee,/data/liuly/dataset/3DGS/Shiny Blender Synthetic/coffee,test consistency exception,test consistency delta +0.002339; reflective PSNR/SSIM/LPIPS all regress on test,rc_qp_lam010_start5000_every8,0.01,5000,8,2.0,0.2,lets reconstruction settle and halves RC update frequency; primary quality-preserving schedule candidate,test consistency lower than base; prefer full LPIPS/PSNR/SSIM beat base; reflective metrics beat or match base where possible
shiny_blender_synthetic,coffee,/data/liuly/dataset/3DGS/Shiny Blender Synthetic/coffee,test consistency exception,test consistency delta +0.002339; reflective PSNR/SSIM/LPIPS all regress on test,rc_qp_lam010_gamma10,0.01,3000,4,1.0,0.2,tests whether confidence weighting sharpness contributes to reflective-region quality regressions,test consistency lower than base; prefer full LPIPS/PSNR/SSIM beat base; reflective metrics beat or match base where possible
glossy_synthetic,luyu,/data/liuly/dataset/3DGS/GlossySynthetic/luyu,worst combined test full and reflective quality regression among Glossy Synthetic scenes,test full LPIPS delta +0.001538; reflective LPIPS delta +0.002417; full PSNR delta -0.421593; reflective PSNR delta -0.655782,rc_qp_lam005,0.005,3000,4,2.0,0.2,largest reduction in RC pressure; should reduce quality regressions but may lose some consistency gain,test consistency lower than base; prefer full LPIPS/PSNR/SSIM beat base; reflective metrics beat or match base where possible
glossy_synthetic,luyu,/data/liuly/dataset/3DGS/GlossySynthetic/luyu,worst combined test full and reflective quality regression among Glossy Synthetic scenes,test full LPIPS delta +0.001538; reflective LPIPS delta +0.002417; full PSNR delta -0.421593; reflective PSNR delta -0.655782,rc_qp_lam010,0.01,3000,4,2.0,0.2,middle point likely to preserve most consistency gain while easing quality pressure,test consistency lower than base; prefer full LPIPS/PSNR/SSIM beat base; reflective metrics beat or match base where possible
glossy_synthetic,luyu,/data/liuly/dataset/3DGS/GlossySynthetic/luyu,worst combined test full and reflective quality regression among Glossy Synthetic scenes,test full LPIPS delta +0.001538; reflective LPIPS delta +0.002417; full PSNR delta -0.421593; reflective PSNR delta -0.655782,rc_qp_lam010_start5000_every8,0.01,5000,8,2.0,0.2,lets reconstruction settle and halves RC update frequency; primary quality-preserving schedule candidate,test consistency lower than base; prefer full LPIPS/PSNR/SSIM beat base; reflective metrics beat or match base where possible
glossy_synthetic,luyu,/data/liuly/dataset/3DGS/GlossySynthetic/luyu,worst combined test full and reflective quality regression among Glossy Synthetic scenes,test full LPIPS delta +0.001538; reflective LPIPS delta +0.002417; full PSNR delta -0.421593; reflective PSNR delta -0.655782,rc_qp_lam010_gamma10,0.01,3000,4,1.0,0.2,tests whether confidence weighting sharpness contributes to reflective-region quality regressions,test consistency lower than base; prefer full LPIPS/PSNR/SSIM beat base; reflective metrics beat or match base where possible
glossy_synthetic,teapot,/data/liuly/dataset/3DGS/GlossySynthetic/teapot,control scene where RC improves consistency and all six test quality metrics,"test consistency delta -0.043500; full/reflective PSNR, SSIM, and LPIPS all improve on test",rc_qp_lam005,0.005,3000,4,2.0,0.2,largest reduction in RC pressure; should reduce quality regressions but may lose some consistency gain,test consistency lower than base; prefer full LPIPS/PSNR/SSIM beat base; reflective metrics beat or match base where possible
glossy_synthetic,teapot,/data/liuly/dataset/3DGS/GlossySynthetic/teapot,control scene where RC improves consistency and all six test quality metrics,"test consistency delta -0.043500; full/reflective PSNR, SSIM, and LPIPS all improve on test",rc_qp_lam010,0.01,3000,4,2.0,0.2,middle point likely to preserve most consistency gain while easing quality pressure,test consistency lower than base; prefer full LPIPS/PSNR/SSIM beat base; reflective metrics beat or match base where possible
glossy_synthetic,teapot,/data/liuly/dataset/3DGS/GlossySynthetic/teapot,control scene where RC improves consistency and all six test quality metrics,"test consistency delta -0.043500; full/reflective PSNR, SSIM, and LPIPS all improve on test",rc_qp_lam010_start5000_every8,0.01,5000,8,2.0,0.2,lets reconstruction settle and halves RC update frequency; primary quality-preserving schedule candidate,test consistency lower than base; prefer full LPIPS/PSNR/SSIM beat base; reflective metrics beat or match base where possible
glossy_synthetic,teapot,/data/liuly/dataset/3DGS/GlossySynthetic/teapot,control scene where RC improves consistency and all six test quality metrics,"test consistency delta -0.043500; full/reflective PSNR, SSIM, and LPIPS all improve on test",rc_qp_lam010_gamma10,0.01,3000,4,1.0,0.2,tests whether confidence weighting sharpness contributes to reflective-region quality regressions,test consistency lower than base; prefer full LPIPS/PSNR/SSIM beat base; reflective metrics beat or match base where possible
