dataset,scene,split,consistency_improves,full_quality_improves,reflective_quality_improves,tradeoff_category,notes
shiny_blender_synthetic,ball,train,True,True,True,consistency_gain_quality_mixed,"improves=mean_reflection_consistency, reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr; worsens=reflective_ssim, reflective_lpips"
shiny_blender_synthetic,ball,test,True,True,True,consistency_gain_quality_mixed,"improves=mean_reflection_consistency, full_psnr, full_ssim, full_lpips, reflective_psnr; worsens=reflective_region_psnr, reflective_ssim, reflective_lpips"
shiny_blender_synthetic,car,train,True,False,False,consistency_gain_quality_drop,"improves=mean_reflection_consistency; worsens=reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips"
shiny_blender_synthetic,car,test,True,True,True,consistency_gain_quality_mixed,"improves=mean_reflection_consistency, reflective_region_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim; worsens=full_psnr, reflective_lpips"
shiny_blender_synthetic,coffee,train,True,False,False,consistency_gain_quality_drop,"improves=mean_reflection_consistency; worsens=reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips"
shiny_blender_synthetic,coffee,test,False,True,False,no_consistency_gain,"improves=full_psnr, full_ssim, full_lpips; worsens=mean_reflection_consistency, reflective_region_psnr, reflective_psnr, reflective_ssim, reflective_lpips"
shiny_blender_synthetic,helmet,train,True,False,True,consistency_gain_quality_mixed,"improves=mean_reflection_consistency, reflective_region_psnr; worsens=full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips"
shiny_blender_synthetic,helmet,test,True,True,True,consistency_gain_quality_mixed,"improves=mean_reflection_consistency, full_psnr, reflective_psnr, reflective_ssim, reflective_lpips; worsens=reflective_region_psnr, full_ssim, full_lpips"
shiny_blender_synthetic,teapot,train,True,True,True,consistency_gain_quality_gain,"improves=mean_reflection_consistency, reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips; worsens=none"
shiny_blender_synthetic,teapot,test,True,True,True,consistency_gain_quality_gain,"improves=mean_reflection_consistency, reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips; worsens=none"
shiny_blender_synthetic,toaster,train,True,True,True,consistency_gain_quality_mixed,"improves=mean_reflection_consistency, reflective_region_psnr, full_psnr, reflective_psnr, reflective_ssim, reflective_lpips; worsens=full_ssim, full_lpips"
shiny_blender_synthetic,toaster,test,True,False,True,consistency_gain_quality_mixed,"improves=mean_reflection_consistency, reflective_ssim; worsens=reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_lpips"
glossy_synthetic,angel,train,True,True,True,consistency_gain_quality_mixed,"improves=mean_reflection_consistency, reflective_region_psnr, full_ssim, full_lpips, reflective_ssim; worsens=full_psnr, reflective_psnr, reflective_lpips"
glossy_synthetic,angel,test,True,True,True,consistency_gain_quality_mixed,"improves=mean_reflection_consistency, reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_lpips; worsens=reflective_ssim"
glossy_synthetic,bell,train,True,True,True,consistency_gain_quality_mixed,"improves=mean_reflection_consistency, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips; worsens=reflective_region_psnr"
glossy_synthetic,bell,test,True,True,True,consistency_gain_quality_gain,"improves=mean_reflection_consistency, reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips; worsens=none"
glossy_synthetic,cat,train,True,True,False,consistency_gain_quality_mixed,"improves=mean_reflection_consistency, full_psnr, full_ssim, full_lpips; worsens=reflective_region_psnr, reflective_psnr, reflective_ssim, reflective_lpips"
glossy_synthetic,cat,test,True,False,False,consistency_gain_quality_drop,"improves=mean_reflection_consistency; worsens=reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips"
glossy_synthetic,horse,train,True,True,True,consistency_gain_quality_mixed,"improves=mean_reflection_consistency, reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim; worsens=reflective_lpips"
glossy_synthetic,horse,test,True,True,True,consistency_gain_quality_mixed,"improves=mean_reflection_consistency, reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr; worsens=reflective_ssim, reflective_lpips"
glossy_synthetic,luyu,train,True,False,False,consistency_gain_quality_drop,"improves=mean_reflection_consistency; worsens=reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips"
glossy_synthetic,luyu,test,True,True,False,consistency_gain_quality_mixed,"improves=mean_reflection_consistency, full_ssim; worsens=reflective_region_psnr, full_psnr, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips"
glossy_synthetic,potion,train,True,True,True,consistency_gain_quality_gain,"improves=mean_reflection_consistency, reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips; worsens=none"
glossy_synthetic,potion,test,True,True,True,consistency_gain_quality_gain,"improves=mean_reflection_consistency, reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips; worsens=none"
glossy_synthetic,tbell,train,True,True,False,consistency_gain_quality_mixed,"improves=mean_reflection_consistency, full_psnr, full_ssim, full_lpips; worsens=reflective_region_psnr, reflective_psnr, reflective_ssim, reflective_lpips"
glossy_synthetic,tbell,test,True,True,True,consistency_gain_quality_mixed,"improves=mean_reflection_consistency, reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr; worsens=reflective_ssim, reflective_lpips"
glossy_synthetic,teapot,train,True,True,True,consistency_gain_quality_mixed,"improves=mean_reflection_consistency, full_psnr, full_ssim, full_lpips, reflective_ssim; worsens=reflective_region_psnr, reflective_psnr, reflective_lpips"
glossy_synthetic,teapot,test,True,True,True,consistency_gain_quality_gain,"improves=mean_reflection_consistency, reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips; worsens=none"
